window_id,room,video,label,start_frame,window_length,onset_frame,fps
0,Coffee_room_01,video (1),2,20,60,47,25.0
1,Coffee_room_01,video (1),2,30,60,47,25.0
2,Coffee_room_01,video (1),2,40,60,47,25.0
3,Coffee_room_01,video (1),2,50,60,47,25.0
4,Coffee_room_01,video (1),0,60,60,47,25.0
5,Coffee_room_01,video (1),0,70,60,47,25.0
6,Coffee_room_01,video (1),0,80,60,47,25.0
7,Coffee_room_01,video (1),0,90,60,47,25.0
8,Coffee_room_01,video (10),0,20,60,210,25.0
9,Coffee_room_01,video (10),0,30,60,210,25.0
10,Coffee_room_01,video (10),0,40,60,210,25.0
11,Coffee_room_01,video (10),0,50,60,210,25.0
12,Coffee_room_01,video (10),0,60,60,210,25.0
13,Coffee_room_01,video (10),0,70,60,210,25.0
14,Coffee_room_01,video (10),0,80,60,210,25.0
15,Coffee_room_01,video (10),0,90,60,210,25.0
16,Coffee_room_01,video (10),0,100,60,210,25.0
17,Coffee_room_01,video (10),0,110,60,210,25.0
18,Coffee_room_01,video (10),0,120,60,210,25.0
19,Coffee_room_01,video (10),0,130,60,210,25.0
20,Coffee_room_01,video (10),0,140,60,210,25.0
21,Coffee_room_01,video (10),1,150,60,210,25.0
22,Coffee_room_01,video (10),1,160,60,210,25.0
23,Coffee_room_01,video (10),1,170,60,210,25.0
24,Coffee_room_01,video (10),1,180,60,210,25.0
25,Coffee_room_01,video (10),2,190,60,210,25.0
26,Coffee_room_01,video (11),0,40,60,374,25.0
27,Coffee_room_01,video (11),0,50,60,374,25.0
28,Coffee_room_01,video (11),0,60,60,374,25.0
29,Coffee_room_01,video (11),0,70,60,374,25.0
30,Coffee_room_01,video (11),0,80,60,374,25.0
31,Coffee_room_01,video (11),0,90,60,374,25.0
32,Coffee_room_01,video (11),0,100,60,374,25.0
33,Coffee_room_01,video (11),0,110,60,374,25.0
34,Coffee_room_01,video (11),0,120,60,374,25.0
35,Coffee_room_01,video (11),0,130,60,374,25.0
36,Coffee_room_01,video (11),0,140,60,374,25.0
37,Coffee_room_01,video (11),0,150,60,374,25.0
38,Coffee_room_01,video (11),0,160,60,374,25.0
39,Coffee_room_01,video (11),0,170,60,374,25.0
40,Coffee_room_01,video (11),0,180,60,374,25.0
41,Coffee_room_01,video (11),0,190,60,374,25.0
42,Coffee_room_01,video (11),0,200,60,374,25.0
43,Coffee_room_01,video (11),0,210,60,374,25.0
44,Coffee_room_01,video (11),0,220,60,374,25.0
45,Coffee_room_01,video (11),0,230,60,374,25.0
46,Coffee_room_01,video (11),0,240,60,374,25.0
47,Coffee_room_01,video (11),0,250,60,374,25.0
48,Coffee_room_01,video (11),0,260,60,374,25.0
49,Coffee_room_01,video (11),0,270,60,374,25.0
50,Coffee_room_01,video (11),0,280,60,374,25.0
51,Coffee_room_01,video (11),0,290,60,374,25.0
52,Coffee_room_01,video (11),0,300,60,374,25.0
53,Coffee_room_01,video (11),0,310,60,374,25.0
54,Coffee_room_01,video (11),1,320,60,374,25.0
55,Coffee_room_01,video (11),1,330,60,374,25.0
56,Coffee_room_01,video (11),1,340,60,374,25.0
57,Coffee_room_01,video (11),2,350,60,374,25.0
58,Coffee_room_01,video (11),2,360,60,374,25.0
59,Coffee_room_01,video (11),2,370,60,374,25.0
60,Coffee_room_01,video (11),0,380,60,374,25.0
61,Coffee_room_01,video (11),0,390,60,374,25.0
62,Coffee_room_01,video (11),0,400,60,374,25.0
63,Coffee_room_01,video (11),0,410,60,374,25.0
64,Coffee_room_01,video (11),0,420,60,374,25.0
65,Coffee_room_01,video (12),1,0,60,52,25.0
66,Coffee_room_01,video (12),0,70,60,52,25.0
67,Coffee_room_01,video (12),0,80,60,52,25.0
68,Coffee_room_01,video (12),0,90,60,52,25.0
69,Coffee_room_01,video (12),0,100,60,52,25.0
70,Coffee_room_01,video (12),0,110,60,52,25.0
