Joint1_X,Joint1_Y,Joint1_Z,Joint2_X,Joint2_Y,Joint2_Z,Joint3_X,Joint3_Y,Joint3_Z,Joint4_X,Joint4_Y,Joint4_Z,Joint5_X,Joint5_Y,Joint5_Z,Joint6_X,Joint6_Y,Joint6_Z,Joint7_X,Joint7_Y,Joint7_Z,Joint8_X,Joint8_Y,Joint8_Z,Joint9_X,Joint9_Y,Joint9_Z,Joint10_X,Joint10_Y,Joint10_Z,Joint11_X,Joint11_Y,Joint11_Z,Joint12_X,Joint12_Y,Joint12_Z,Joint13_X,Joint13_Y,Joint13_Z,Joint14_X,Joint14_Y,Joint14_Z,Joint15_X,Joint15_Y,Joint15_Z,Joint16_X,Joint16_Y,Joint16_Z,Joint17_X,Joint17_Y,Joint17_Z,Joint18_X,Joint18_Y,Joint18_Z,Joint19_X,Joint19_Y,Joint19_Z,Joint20_X,Joint20_Y,Joint20_Z,Joint21_X,Joint21_Y,Joint21_Z,Joint22_X,Joint22_Y,Joint22_Z,Joint23_X,Joint23_Y,Joint23_Z,Joint24_X,Joint24_Y,Joint24_Z,Joint25_X,Joint25_Y,Joint25_Z,Joint26_X,Joint26_Y,Joint26_Z,Joint27_X,Joint27_Y,Joint27_Z,Joint28_X,Joint28_Y,Joint28_Z,Joint29_X,Joint29_Y,Joint29_Z,Joint30_X,Joint30_Y,Joint30_Z,Joint31_X,Joint31_Y,Joint31_Z,Joint32_X,Joint32_Y,Joint32_Z,Joint33_X,Joint33_Y,Joint33_Z,LABEL
0.530008554,0.216380224,-0.001147158,0.534178078,0.202819109,0.001467091,0.537801385,0.202097595,-0.003273226,0.54139936,0.201382443,-0.001459725,0.524335027,0.203865707,-0.000307418,0.520797312,0.203965187,0.000360722,0.517284453,0.204087093,-0.001047262,0.547178626,0.202956066,-0.000237367,0.513037324,0.206373483,0.001102603,0.537805021,0.224498644,0.000338927,0.524369955,0.225810632,0.000888616,0.57494849,0.258495629,-0.12921001,0.493710965,0.26155144,-0.131717324,0.582227945,0.341955513,-0.082781479,0.486134171,0.344640344,-0.04338764,0.574011743,0.419936955,-0.1296729,0.482862741,0.421868473,-0.11415229,0.575867414,0.446428865,-0.137340978,0.477733046,0.444320232,-0.112787962,0.565853298,0.444895267,-0.146599397,0.482176542,0.447243243,-0.124822713,0.561156273,0.434232831,-0.143105403,0.487842262,0.438653529,-0.121768646,0.552884519,0.415460527,-0.014268214,0.50933373,0.414546549,0.007799741,0.55224818,0.523529053,0.066492341,0.509883523,0.523427427,0.077446356,0.544421494,0.623488307,0.142965093,0.509642005,0.619948864,0.151729941,0.540262282,0.638168454,0.153534278,0.514199197,0.634310901,0.177750394,0.551943958,0.664889574,0.151704296,0.497543961,0.661314726,0.186813757,0
0.520730197,0.230513975,-0.000511745,0.525778592,0.215803161,0.001848477,0.529676139,0.215185419,-0.003023669,0.533547759,0.214584887,-0.001914319,0.515571237,0.216274351,0.000199584,0.511937618,0.21607697,0.00020922,0.50830698,0.215856329,-0.001039708,0.540470719,0.214591101,-0.000593064,0.504791617,0.216401547,0.00154342,0.528969169,0.238404363,0.00022892,0.514982641,0.239063695,0.000494518,0.569215655,0.265096784,-0.190702751,0.483644158,0.268950403,-0.169805884,0.599641681,0.340812743,-0.140844032,0.467262924,0.347243994,-0.038719464,0.596300066,0.422193766,-0.196171299,0.461170763,0.426320225,-0.125882655,0.599916458,0.445578396,-0.200348064,0.455181599,0.448998481,-0.124973722,0.588508606,0.444127202,-0.210834444,0.461884916,0.452379346,-0.140056938,0.583664,0.436139941,-0.207614601,0.46893388,0.444578737,-0.136039749,0.548706591,0.426482797,-0.030848863,0.503818095,0.428209215,0.018274445,0.546357393,0.53190428,0.191944391,0.502915561,0.533822596,0.191810355,0.541698754,0.621487916,0.34146595,0.506218255,0.624953032,0.335160017,0.539336026,0.634864509,0.337823957,0.512677014,0.637500346,0.343828619,0.547964275,0.661679626,0.322218508,0.493215859,0.667396426,0.336059898,0
0.954429269,0.30538252,0.000143529,0.953147888,0.294014633,0.001346244,0.954405606,0.293710023,-0.002115272,0.955606163,0.293387592,-0.000533962,0.947640061,0.2941643,-8.65E-05,0.945002437,0.293963492,0.001447653,0.942382514,0.293771148,-0.00096282,0.949986756,0.293975234,-0.000603883,0.93261075,0.294817626,-0.000106982,0.952907801,0.31548962,0.001003391,0.945813417,0.315625191,0.000109324,0.957102835,0.343979329,-0.106740631,0.890434444,0.343709677,-0.234790817,0.980027676,0.407410502,-0.040731691,0.871306837,0.426118582,-0.281310648,0.944710732,0.430765569,-0.147366926,0.929723442,0.42693758,-0.263310343,0.937674642,0.44711867,-0.161618993,0.945819438,0.431322694,-0.279367626,0.926235855,0.434491217,-0.165662631,0.947281718,0.420909703,-0.282159328,0.927043974,0.431382656,-0.156820551,0.94130522,0.42114538,-0.279193103,0.912347317,0.45545274,0.071514398,0.871045649,0.457482129,-0.059112813,0.970544934,0.509783983,-0.140138239,0.891507447,0.546774566,-0.249307856,0.935337245,0.595550478,0.066646822,0.849368036,0.576330543,-0.038283832,0.923096418,0.608942509,0.056575987,0.840255558,0.576883137,-0.029199764,0.95408386,0.634008586,0.002138559,0.847572982,0.616776645,-0.051963091,0
0.95537436,0.303780437,-3.76E-05,0.954335928,0.292435855,0.001457078,0.955631137,0.292157829,-0.002232437,0.956867278,0.291873753,-0.000551947,0.94869864,0.292505294,0.000355604,0.945971668,0.292164624,0.001128139,0.943261325,0.291846693,-0.000807237,0.95095706,0.292122185,-0.000408343,0.93313694,0.292564511,-0.00030576,0.95394206,0.313372612,0.000945121,0.946621418,0.313226908,0.000244623,0.958974302,0.340842128,-0.111751691,0.891974926,0.34067896,-0.229750097,0.980635405,0.40754199,-0.035367556,0.872484326,0.429107308,-0.269886285,0.942850351,0.434309751,-0.128950372,0.932927549,0.418088049,-0.263433725,0.934935749,0.449565202,-0.138078615,0.951614797,0.418437779,-0.279005438,0.926592946,0.436857849,-0.141693965,0.950304568,0.403739035,-0.28167358,0.928281546,0.43244943,-0.134788096,0.944111586,0.404513836,-0.278407067,0.919395983,0.460265696,0.068282306,0.878588915,0.462336123,-0.053360607,0.973723948,0.524422586,-0.137259737,0.882624149,0.567332149,-0.202360734,0.934817731,0.601935804,0.066046491,0.841436028,0.589573503,0.001263337,0.921757102,0.612121403,0.062218599,0.835367084,0.590076864,0.018860294,0.95354116,0.645074248,0.016768739,0.831680655,0.629572332,0.007819104,0
0.955441177,0.304448307,-6.43E-05,0.954342902,0.293147147,0.001458507,0.955565274,0.292877823,-0.002267753,0.956732988,0.292610496,-0.000836572,0.948758781,0.293118536,0.000475036,0.946068108,0.292756617,0.00111338,0.943395734,0.29241997,-0.000875713,0.950266063,0.292156249,-0.000324337,0.932672679,0.292500973,-0.000227712,0.953445733,0.313469261,0.000865018,0.946395755,0.313334107,0.000463217,0.957046747,0.341332436,-0.098014913,0.890346885,0.340199888,-0.20491457,0.982714534,0.405695796,-0.026435034,0.871334434,0.428714544,-0.240813002,0.953139663,0.423573881,-0.124480687,0.930444419,0.417472035,-0.243679672,0.94638598,0.434731215,-0.140388027,0.949262202,0.416861594,-0.259034604,0.940298975,0.4221237,-0.143155113,0.948305368,0.401691109,-0.26111263,0.941419184,0.419429481,-0.136024773,0.941973507,0.40289408,-0.258214772,0.918293953,0.461495012,0.061293487,0.876970053,0.462353528,-0.048969794,0.971890152,0.531469047,-0.125681952,0.886756897,0.568905652,-0.184817046,0.933310509,0.606873572,0.055766921,0.837265313,0.584166527,0.00181294,0.921413362,0.614058912,0.056434818,0.829133213,0.581574917,0.021211926,0.945767581,0.65046972,0.020385416,0.828058958,0.624684572,0.021420967,0
0.95588392,0.304553449,-2.78E-05,0.954936922,0.293367982,0.0013174,0.956010103,0.293127954,-0.001930854,0.957027435,0.292899668,-0.000386262,0.949736357,0.293290138,0.000636135,0.947153628,0.292872161,0.001045886,0.94459492,0.292461693,-0.00095739,0.950051308,0.292500257,-0.000287508,0.933585048,0.292139977,-0.000237639,0.95314312,0.313704848,0.000560308,0.946687937,0.313375473,0.000157593,0.957884371,0.340673447,-0.106536694,0.88962841,0.340763897,-0.221968666,0.98129648,0.406408101,-0.037781458,0.876761198,0.430072546,-0.268416822,0.941977859,0.427508593,-0.126327038,0.931967437,0.42028144,-0.26081872,0.933393478,0.440206736,-0.139548108,0.949585617,0.420485318,-0.279898763,0.925589561,0.428242445,-0.142481297,0.947886646,0.405512989,-0.281108826,0.927607894,0.425088167,-0.136593625,0.942086637,0.406350821,-0.277710229,0.92278868,0.463987321,0.064644739,0.879103541,0.46495381,-0.047763351,0.977163732,0.527225196,-0.121363468,0.877084613,0.567896307,-0.17540507,0.937979341,0.597506225,0.062908567,0.829256654,0.591997623,0.011005665,0.926284671,0.604511797,0.065224692,0.823654652,0.592642725,0.032244403,0.949293971,0.642431736,0.033301577,0.813001275,0.633360744,0.033189826,0
0.956144035,0.303087264,7.86E-05,0.954912186,0.292363644,0.001451525,0.956115782,0.292235136,-0.002140338,0.957255185,0.29209435,-0.000596673,0.949316025,0.292155981,0.00039241,0.946665406,0.29181233,0.00101679,0.94403106,0.291478485,-0.001091375,0.951060057,0.292721808,-0.000398982,0.933661759,0.292453766,-0.000264398,0.954304695,0.31299457,0.000709446,0.947347283,0.312560588,0.00044291,0.959452987,0.340794742,-0.113168187,0.890809536,0.34136188,-0.23404105,0.979052365,0.407419771,-0.044844806,0.875375569,0.435194492,-0.275701463,0.943333507,0.429407656,-0.14877753,0.934948981,0.417477608,-0.26508826,0.935281456,0.444119841,-0.162714913,0.95312053,0.415422559,-0.284529209,0.92753309,0.430977911,-0.166084558,0.950567544,0.40117991,-0.287044108,0.929454446,0.427019596,-0.158555552,0.945187688,0.402591169,-0.283227265,0.920080006,0.458724529,0.073925234,0.877686262,0.460468978,-0.05365615,0.974616587,0.526661038,-0.142113417,0.886874318,0.567001641,-0.19755289,0.936246574,0.605912685,0.060492158,0.845568001,0.583159804,0.012036914,0.92477113,0.614941657,0.056157101,0.839180768,0.581441522,0.030903224,0.948902488,0.649459124,0.011097743,0.837504804,0.624715686,0.028678704,0
0.956298172,0.303259313,4.05E-06,0.954908073,0.292610496,0.001373227,0.956085205,0.292443603,-0.002131952,0.957207143,0.292267978,-0.000720549,0.949517846,0.292529762,0.000199538,0.946893632,0.292255759,0.001063095,0.94428587,0.291997194,-0.001004559,0.951176107,0.293153226,-0.000416752,0.934021831,0.293374002,-0.000170987,0.954520881,0.313298762,0.000726794,0.947651744,0.313137114,0.000350102,0.958833933,0.344458789,-0.104318984,0.891542196,0.341793776,-0.223303914,0.979750812,0.409723759,-0.035671722,0.872555435,0.429232627,-0.270826459,0.94835788,0.428183794,-0.132397056,0.931169152,0.422384441,-0.265593022,0.940973699,0.441933125,-0.146167248,0.948297441,0.423994869,-0.281443506,0.93327409,0.428710431,-0.149880201,0.9481951,0.41091758,-0.283193171,0.93454057,0.425347924,-0.141711488,0.94234848,0.411572337,-0.280109018,0.918033302,0.461654931,0.067046598,0.876433134,0.461816758,-0.054118618,0.969166934,0.519789279,-0.126479745,0.895402551,0.554793358,-0.200890705,0.932556987,0.602363229,0.061702076,0.853357255,0.582682192,-0.013972459,0.920530856,0.612489641,0.061068799,0.844802201,0.582914472,0.005026191,0.946664155,0.644098759,0.018878978,0.84992528,0.623911679,0.001454895,0
0.956124425,0.306078613,6.54E-05,0.955139577,0.294698149,0.001440363,0.956391633,0.294418275,-0.002163977,0.957581758,0.294127047,-0.000523906,0.949564695,0.294724107,0.000205163,0.946932614,0.294398338,0.001068955,0.944316804,0.294087887,-0.000917934,0.951883852,0.294309199,-0.000531978,0.934358716,0.294728696,-0.000174314,0.954549372,0.315744042,0.000813837,0.947501898,0.315572739,0.000318822,0.960293949,0.341704398,-0.113243788,0.891761959,0.342252046,-0.239515409,0.977395236,0.410762906,-0.045720316,0.876254261,0.435964674,-0.280778378,0.94056505,0.437038243,-0.149931252,0.934360862,0.420683056,-0.261820048,0.933157027,0.453115106,-0.163942754,0.951819837,0.419294447,-0.282514483,0.924133122,0.439812601,-0.167399958,0.949653029,0.4057706,-0.286407322,0.925595522,0.4349612,-0.159770057,0.944189429,0.406764925,-0.282290697,0.920581996,0.456202656,0.077338256,0.878407955,0.459010035,-0.057165422,0.977343023,0.517124474,-0.152642637,0.888372719,0.559440672,-0.228378013,0.935043871,0.600193202,0.068239711,0.847068429,0.585240483,-0.00967411,0.92197144,0.610666096,0.0583014,0.84017539,0.58591938,0.005085748,0.952028155,0.644937098,0.006731574,0.840191126,0.626154959,-0.011752859,0
0.955652237,0.302214712,-2.20E-05,0.95502615,0.292286813,0.001742369,0.956319213,0.292446345,-0.002114406,0.957553029,0.292585373,-0.000725597,0.949418604,0.291447431,0.000285089,0.946822882,0.290941089,0.000930715,0.944244504,0.290445447,-0.001040516,0.951755762,0.294130921,-0.000359954,0.934342623,0.292019367,-0.000181461,0.954112649,0.312662184,0.000767802,0.946894944,0.311402202,0.000399525,0.958974242,0.344019324,-0.101832166,0.892612934,0.341866463,-0.212289259,0.978223145,0.410615951,-0.041986767,0.877148449,0.433247268,-0.237823337,0.940555453,0.43239671,-0.139295295,0.932321787,0.418594211,-0.240225524,0.932085216,0.447224826,-0.154596984,0.948850989,0.417212605,-0.258552462,0.923984051,0.434673548,-0.157010883,0.947087705,0.404159248,-0.260463506,0.926159382,0.430512071,-0.150859445,0.942104459,0.405555189,-0.257103145,0.92007333,0.459463179,0.067443348,0.879262149,0.460785925,-0.052244205,0.97611028,0.520256877,-0.120106682,0.890372276,0.558539212,-0.184583291,0.938544512,0.604915619,0.053280596,0.846072793,0.580178678,0.009908715,0.927054226,0.613791108,0.048253782,0.839925289,0.578226328,0.025687546,0.950786471,0.652559042,0.00748482,0.835671544,0.62516284,0.024198696,0
