Joint1_X,Joint1_Y,Joint1_Z,Joint2_X,Joint2_Y,Joint2_Z,Joint3_X,Joint3_Y,Joint3_Z,Joint4_X,Joint4_Y,Joint4_Z,Joint5_X,Joint5_Y,Joint5_Z,Joint6_X,Joint6_Y,Joint6_Z,Joint7_X,Joint7_Y,Joint7_Z,Joint8_X,Joint8_Y,Joint8_Z,Joint9_X,Joint9_Y,Joint9_Z,Joint10_X,Joint10_Y,Joint10_Z,Joint11_X,Joint11_Y,Joint11_Z,Joint12_X,Joint12_Y,Joint12_Z,Joint13_X,Joint13_Y,Joint13_Z,Joint14_X,Joint14_Y,Joint14_Z,Joint15_X,Joint15_Y,Joint15_Z,Joint16_X,Joint16_Y,Joint16_Z,Joint17_X,Joint17_Y,Joint17_Z,Joint18_X,Joint18_Y,Joint18_Z,Joint19_X,Joint19_Y,Joint19_Z,Joint20_X,Joint20_Y,Joint20_Z,Joint21_X,Joint21_Y,Joint21_Z,Joint22_X,Joint22_Y,Joint22_Z,Joint23_X,Joint23_Y,Joint23_Z,Joint24_X,Joint24_Y,Joint24_Z,Joint25_X,Joint25_Y,Joint25_Z,Joint26_X,Joint26_Y,Joint26_Z,Joint27_X,Joint27_Y,Joint27_Z,Joint28_X,Joint28_Y,Joint28_Z,Joint29_X,Joint29_Y,Joint29_Z,Joint30_X,Joint30_Y,Joint30_Z,Joint31_X,Joint31_Y,Joint31_Z,Joint32_X,Joint32_Y,Joint32_Z,Joint33_X,Joint33_Y,Joint33_Z,0
0.581734776,0.462854981,0.000218383,0.586823761,0.443498373,0.001466815,0.589556158,0.442450851,-0.003374477,0.592230976,0.44150275,-0.000741546,0.584110975,0.443844289,0.001485137,0.584583163,0.443210721,-0.000294287,0.585097909,0.442610174,-0.001667824,0.610065281,0.439993203,-0.000156114,0.598947406,0.441980869,0.000618279,0.59424305,0.474378556,-0.000637453,0.589496732,0.475534856,-0.000295866,0.662277102,0.523055792,-0.270460308,0.616948605,0.512884617,-0.078078993,0.671686828,0.647721052,-0.360919476,0.623547852,0.619475722,0.064225979,0.644020259,0.759115458,-0.35748595,0.616050303,0.709054232,0.119818866,0.646389723,0.790139437,-0.372518092,0.614520371,0.734797239,0.142867491,0.630558372,0.786156714,-0.377763808,0.613070607,0.73773998,0.129530445,0.629724562,0.772700548,-0.373939782,0.617361903,0.729618728,0.132275358,0.666625738,0.741057396,-0.081824429,0.64031744,0.729829967,0.089398719,0.667894125,0.885267437,0.163048446,0.644459069,0.86201638,0.346421868,0.673417151,1.020914435,0.380140781,0.659287035,0.979045391,0.58467561,0.684857249,1.044580817,0.367566913,0.671321332,1.000805497,0.562178314,0.628226757,1.055449486,0.312182069,0.618132889,1.008000612,0.496020824,0
0.565379679,0.45953989,0.000526546,0.571019232,0.441752136,0.001568001,0.573684692,0.441192001,-0.003996245,0.57629776,0.440713406,-0.00095927,0.568534315,0.440787315,0.001224613,0.568983674,0.439660639,-0.000865389,0.569483995,0.438542843,-0.00182922,0.592777073,0.441706777,-7.97E-05,0.582589507,0.43870306,0.000385716,0.57673353,0.472218275,-7.19E-05,0.571867347,0.471682429,2.43E-05,0.640519559,0.522584319,-0.243508428,0.598043501,0.513504386,-0.059944585,0.661301374,0.644986153,-0.339116991,0.609425902,0.619841576,0.072796822,0.626675367,0.751675844,-0.341299087,0.601938903,0.708013058,0.109824888,0.625455797,0.783414245,-0.353644103,0.60055697,0.734489501,0.132972315,0.610529006,0.776545286,-0.357620507,0.599157631,0.736685634,0.121294826,0.611925066,0.76270628,-0.354534805,0.602766633,0.727256894,0.12320368,0.643649399,0.737771451,-0.073437206,0.618266761,0.728447318,0.08529225,0.652406931,0.884919822,0.116747044,0.623188078,0.858905792,0.333673,0.664507151,1.015018106,0.267473847,0.643366754,0.970333636,0.501242399,0.679226637,1.034002542,0.265746802,0.656692922,0.990685761,0.491457731,0.619937241,1.058578968,0.241458908,0.603591919,1.00149405,0.4586474,0
0.441323996,0.614503145,0.001107859,0.450491369,0.608981729,0.000616744,0.452908635,0.611427724,-0.003338646,0.455255926,0.613884568,-7.43E-05,0.44788757,0.602366805,0.000433315,0.448194712,0.600162387,-0.000176651,0.448486418,0.597993791,-0.002215882,0.468583107,0.62276876,0.000183869,0.459913462,0.600876749,0.000367154,0.447550356,0.630564809,-0.000640501,0.443581939,0.623857439,-0.000549365,0.492058486,0.712291837,-0.30546689,0.47997731,0.637010634,-0.124535181,0.49428609,0.852504849,-0.295130908,0.48948139,0.719246387,0.015314276,0.468022168,0.940883756,-0.332766831,0.461296082,0.760301948,-0.032800186,0.473030895,0.965067863,-0.310893238,0.4597269,0.761680365,-0.013012147,0.460423946,0.957100391,-0.320465744,0.453390151,0.769647241,-0.028839307,0.457917958,0.944254398,-0.319079429,0.45602417,0.772902012,-0.019728588,0.491352171,0.854253769,-0.080629744,0.486074984,0.81591785,0.08092954,0.502604961,0.954525054,0.142040938,0.489170045,0.891676962,0.328712761,0.52444315,0.984566569,0.259537876,0.503170073,0.944693446,0.470559984,0.536184072,0.990668416,0.2468438,0.512504458,0.952858329,0.465118349,0.498274803,1.000455856,0.24075143,0.482012153,0.964976251,0.429652035,0
0.442780614,0.596912742,0.001278659,0.4515751,0.589964986,0.001135594,0.453943551,0.592023969,-0.00307726,0.456232131,0.594107091,3.34E-05,0.449318826,0.584831953,0.000857291,0.44992891,0.583459079,-0.000391364,0.450546324,0.582121491,-0.002487209,0.47015053,0.605321348,0.000407549,0.462913126,0.58917737,0.0004498,0.449669182,0.615745366,-0.000701653,0.44605431,0.610689044,-0.000205342,0.494080216,0.710445225,-0.280357599,0.489295363,0.641418815,-0.11095506,0.493985862,0.848048985,-0.289363533,0.498192698,0.725113273,0.023165783,0.468155861,0.942980409,-0.304921806,0.46932447,0.750311255,-0.008538553,0.471811563,0.966712952,-0.286590427,0.46725139,0.745184481,0.008785727,0.459432185,0.960314035,-0.292983323,0.459644467,0.749812961,-0.004891786,0.458214045,0.948322892,-0.292089075,0.461283833,0.756693244,0.005152266,0.49615106,0.865465701,-0.071066476,0.495802194,0.829401493,0.075190306,0.503641963,0.946573675,0.156331673,0.496416807,0.88920182,0.348897994,0.529599309,0.97995466,0.32190907,0.513049662,0.927612484,0.549421251,0.541600406,0.989591002,0.309046686,0.52231133,0.937484145,0.537801683,0.505728364,0.987237096,0.288561106,0.490485221,0.93393296,0.498538613,0
0.443802923,0.600878358,0.00139677,0.453621566,0.593671501,0.000760763,0.455922633,0.595859766,-0.003051049,0.458132327,0.598069668,-0.000504802,0.451429486,0.588486373,0.000862735,0.451829702,0.586988866,-0.000583306,0.452295989,0.585529804,-0.002230616,0.471329778,0.610061169,0.000433828,0.464028597,0.592903376,9.05E-05,0.449460149,0.619479477,-0.000816231,0.445387006,0.614011228,-0.001164994,0.486601055,0.709035277,-0.309075773,0.493905634,0.643742442,-0.121430576,0.493680745,0.851183057,-0.305812687,0.500069916,0.72698009,0.022945676,0.467180699,0.948496282,-0.330236852,0.46395573,0.768813193,-0.002780558,0.469529659,0.974284112,-0.306274563,0.458594799,0.769663453,0.019426556,0.459748238,0.969905674,-0.31270957,0.453205019,0.776386797,0.005285823,0.460089922,0.958241105,-0.312718958,0.456502855,0.780143201,0.015625313,0.493510246,0.868675232,-0.07813558,0.500616133,0.829949558,0.079881959,0.487893701,0.966805756,0.189495355,0.48991856,0.917215168,0.345443219,0.494322836,1.03503108,0.445894897,0.491427004,0.977592051,0.599463999,0.504810989,1.04937005,0.422066927,0.499055535,0.9898265,0.574644208,0.460891038,1.04543519,0.368012875,0.461549342,0.986641765,0.508848488,0
0.44526422,0.60495615,0.001298775,0.454329848,0.595258832,0.000723699,0.456856608,0.597059786,-0.003454681,0.459307611,0.598905444,-0.00049769,0.451499373,0.590441346,0.000474317,0.451694399,0.588720918,-0.000311592,0.451881379,0.586993754,-0.002419971,0.473280996,0.607171893,-0.000221357,0.462814808,0.591619968,0.00072423,0.452960908,0.623272121,-0.000330696,0.448488414,0.617701173,0.00029132,0.491957784,0.705111384,-0.294133395,0.488381863,0.652339935,-0.111834466,0.487804919,0.832277656,-0.374720097,0.474210143,0.733147144,0.028131168,0.469704986,0.938525438,-0.351042449,0.446558267,0.764683723,0.037676264,0.475374132,0.962034464,-0.353128999,0.440205663,0.765085578,0.055302385,0.459652603,0.959994435,-0.359359533,0.437953144,0.765985727,0.040755618,0.459157377,0.949287415,-0.353810877,0.442210197,0.771147847,0.049358357,0.500393987,0.871500731,-0.072664395,0.500938177,0.843339801,0.081719764,0.499984801,0.981153488,0.129047021,0.523490191,0.926968694,0.376496106,0.554123759,1.022032261,0.224707097,0.560245156,0.989246011,0.410491198,0.572063684,1.02657032,0.227808774,0.574010193,1.001817942,0.417035341,0.532213509,1.044861674,0.248444915,0.539228737,1.007415295,0.423927248,0
0.445557356,0.607059181,0.001343678,0.454891354,0.59813261,0.000900493,0.457639307,0.600058794,-0.003118273,0.460305274,0.602007508,-0.000422475,0.45148614,0.593450904,0.000562276,0.451530963,0.592052519,-0.000390917,0.451568842,0.590680301,-0.002411213,0.474323928,0.611695945,-5.22E-05,0.462793559,0.596636117,0.00057129,0.453074396,0.625848114,-0.000717653,0.448058486,0.620796442,4.29E-05,0.492004633,0.711538911,-0.30675897,0.489627957,0.649253607,-0.119949326,0.489656448,0.840303719,-0.363238245,0.483120888,0.724700212,0.025646411,0.465004861,0.940980077,-0.351479024,0.453333974,0.751456976,0.01979441,0.469601512,0.964186072,-0.34631753,0.449070126,0.749874949,0.041040231,0.45620957,0.961524248,-0.353483915,0.44356671,0.752184331,0.027213657,0.455005348,0.950910687,-0.350187182,0.446783215,0.758466482,0.036720324,0.499217272,0.871464491,-0.075319849,0.500796795,0.839448988,0.079745114,0.505655289,0.970809102,0.176968843,0.509887397,0.911131024,0.371956408,0.542450428,1.023165464,0.335852146,0.535602808,0.968513012,0.534816325,0.558192909,1.032265663,0.326414943,0.547257841,0.980261207,0.525071383,0.514504135,1.043275237,0.310818434,0.51057303,0.981802106,0.495591134,0
0.442894816,0.602553368,0.001267047,0.452878296,0.593951583,0.000752458,0.455472767,0.595854998,-0.002804354,0.457986385,0.597786188,-0.000646048,0.450017422,0.589471757,0.00068426,0.450266927,0.588252425,-0.000789866,0.450553626,0.587034643,-0.001936227,0.471660048,0.60834527,0.000208388,0.462150395,0.593906045,0.000457852,0.449612558,0.62129432,-0.00086792,0.444919884,0.616477966,-0.000500448,0.486791939,0.707436979,-0.283533424,0.487954766,0.648837566,-0.108437143,0.491036445,0.838096559,-0.311700046,0.484992027,0.73036778,0.029888581,0.468099475,0.939120114,-0.32313931,0.447847784,0.757713199,0.028889798,0.471670002,0.964280725,-0.310783833,0.441642433,0.756546199,0.049847409,0.459000021,0.961824477,-0.317068994,0.436885566,0.759138763,0.037037458,0.45855844,0.950201511,-0.315002382,0.439777195,0.764826894,0.046366658,0.497865021,0.867702007,-0.066363677,0.500248134,0.836039007,0.074147038,0.492689908,0.965578079,0.165228575,0.4968988,0.921530187,0.33614254,0.506125033,1.041023374,0.350011438,0.506539583,0.991629004,0.504873097,0.5179196,1.055749774,0.337325424,0.514859021,1.005925417,0.496316344,0.473351151,1.059558272,0.31156832,0.480190337,1.004845858,0.464987218,0
0.444882482,0.609096408,0.001364119,0.45317325,0.600471139,0.000919547,0.455593467,0.602302909,-0.003361797,0.457927734,0.604174197,-0.000127398,0.450373739,0.595280111,0.000784164,0.45055455,0.593521535,-0.000479389,0.450769931,0.591833055,-0.002314695,0.47144869,0.612619638,0.000281462,0.462164491,0.59584111,0.000258196,0.452178895,0.62593919,-0.000682485,0.447561085,0.620634317,-0.000834263,0.491860837,0.709999144,-0.306965053,0.494078636,0.643512785,-0.12477728,0.494103044,0.850128055,-0.325625479,0.508442342,0.729899049,0.015791267,0.468102574,0.946172416,-0.342911065,0.483941615,0.773982286,-0.005768713,0.470609188,0.970919728,-0.322619498,0.482098699,0.774586558,0.018504392,0.459940821,0.964960992,-0.328689128,0.474965364,0.782323897,0.00335318,0.459668159,0.953207374,-0.328164399,0.477104813,0.786564767,0.01299955,0.496530294,0.866367817,-0.075813465,0.500534773,0.830307543,0.078249417,0.499201983,0.960830808,0.191914052,0.495301634,0.910303771,0.35575366,0.511630893,1.015229106,0.404831111,0.501060486,0.965358377,0.579003274,0.523294687,1.028565884,0.386853695,0.509096503,0.977785945,0.559358597,0.480681151,1.024955034,0.348154008,0.472337037,0.972181618,0.501993477,0
0.43602711,0.597952843,0.00159569,0.446398348,0.591100872,0.00066246,0.449032962,0.593512774,-0.003233484,0.451592833,0.595952392,-0.000381744,0.443756014,0.585825145,0.001072744,0.444201887,0.58451438,-0.000532726,0.444705307,0.583189487,-0.002284246,0.466904253,0.609524548,0.000710281,0.457474768,0.592686534,0.000401506,0.442813039,0.618506789,-0.000817904,0.438437611,0.613650918,-0.000761585,0.488687873,0.717749238,-0.31843996,0.496014059,0.641723514,-0.144337565,0.495164305,0.86028266,-0.299634635,0.507422507,0.71026665,0.013801292,0.462443888,0.945638001,-0.315000564,0.4714486,0.726604521,-0.017980818,0.465146184,0.967967689,-0.287070155,0.46855244,0.718698442,0.012871116,0.456490308,0.960962892,-0.295187443,0.462767363,0.723295748,-0.001295228,0.455949813,0.95078814,-0.29570511,0.464182407,0.731716454,0.010939693,0.493919551,0.871496022,-0.083477572,0.499260753,0.828997552,0.075993516,0.485846907,0.955468416,0.214293256,0.487699151,0.910425901,0.345199466,0.494513035,1.024629712,0.4678303,0.487798005,0.965325415,0.630074203,0.504188955,1.040975332,0.439395458,0.494447112,0.979156137,0.597333014,0.458751768,1.026532888,0.371586829,0.455219418,0.966436386,0.518901408,0
